,Geography,Time,DelinquencyRate,AverageMortgageAmount,PopulationSize
318,Alberta,2020Q2,0.52,296269,4417006
319,British Columbia,2020Q2,0.19,397853,5142404
320,Newfoundland,2020Q3,0.64,196100,522103
321,Prince Edward Island,2020Q3,0.27,204415,159625
322,Nova Scotia,2020Q3,0.45,207877,979351
323,New Brunswick,2020Q3,0.52,160349,781476
324,Québec,2020Q3,0.36,203861,8574571
325,Ontario,2020Q3,0.14,373371,14734014
326,Manitoba,2020Q3,0.35,232725,1379263
327,Saskatchewan,2020Q3,0.72,237386,1178681
328,Alberta,2020Q3,0.5,305600,4421876
329,British Columbia,2020Q3,0.19,417004,5147712
